Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,581.989990,604.200012,577.369995,599.330017,599.330017,0
2014-09-01,596.700012,606.169983,557.869995,562.960022,562.960022,0
2014-10-01,562.960022,613.340027,558.809998,612.539978,612.539978,0
2014-11-01,612.539978,631.280029,606.710022,625.250000,625.250000,0
2014-12-01,625.250000,644.729980,609.489990,629.960022,629.960022,0
2015-01-01,629.960022,688.929993,629.960022,668.039978,668.039978,0
2015-02-01,668.039978,677.570007,639.599976,646.260010,646.260010,0
2015-03-01,646.260010,672.640015,622.799988,649.750000,649.750000,0
2015-04-01,649.750000,661.849976,613.469971,616.750000,616.750000,0
2015-05-01,616.750000,631.559998,604.809998,613.760010,613.760010,0
2015-06-01,613.760010,621.890015,583.539978,585.179993,585.179993,0
2015-07-01,585.179993,618.080017,584.210022,613.590027,613.590027,0
2015-08-01,613.590027,627.659973,562.770020,576.330017,576.330017,0
2015-09-01,576.330017,599.919983,558.260010,585.080017,585.080017,0
2015-10-01,585.080017,634.320007,581.450012,622.020020,622.020020,0
2015-11-01,622.020020,635.500000,594.900024,619.250000,619.250000,0
2015-12-01,619.250000,633.349976,598.840027,623.760010,623.760010,0
2016-01-01,623.760010,629.859985,562.419983,601.059998,601.059998,0
2016-02-01,601.059998,606.260010,550.960022,597.070007,597.070007,0
2016-03-01,597.070007,655.619995,597.070007,654.869995,654.869995,0
2016-04-01,654.869995,657.669983,633.840027,642.030029,642.030029,0
2016-05-01,642.030029,676.479980,634.869995,655.289978,655.289978,0
2016-06-01,655.289978,696.650024,651.900024,696.640015,696.640015,0
2016-07-01,696.640015,726.390015,691.359985,722.859985,722.859985,0
2016-08-01,722.859985,725.650024,685.450012,696.210022,696.210022,0
2016-09-01,696.210022,710.429993,661.960022,682.099976,682.099976,0
2016-10-01,682.099976,682.099976,633.690002,646.150024,646.150024,0
2016-11-01,646.150024,646.150024,606.320007,629.440002,629.440002,0
2016-12-01,629.440002,657.260010,616.729980,653.479980,653.479980,0
2017-01-01,653.479980,669.539978,646.659973,653.729980,653.729980,0
2017-02-01,653.729980,684.140015,645.580017,678.539978,678.539978,0
2017-03-01,678.539978,679.869995,639.820007,663.909973,663.909973,0
2017-04-01,663.909973,687.049988,661.619995,665.679993,665.679993,0
2017-05-01,665.679993,673.489990,650.549988,663.309998,663.309998,0
2017-06-01,663.309998,687.539978,660.570007,672.200012,672.200012,0
2017-07-01,672.200012,683.890015,652.359985,679.780029,679.780029,0
2017-08-01,679.780029,684.679993,661.070007,682.609985,682.609985,0
2017-09-01,682.609985,693.000000,666.500000,673.200012,673.200012,0
2017-10-01,673.200012,688.890015,663.309998,672.929993,672.929993,0
2017-11-01,673.130005,699.650024,672.359985,689.250000,689.250000,0
2017-12-01,689.250000,698.419983,670.869995,683.049988,683.049988,0
2018-01-01,683.049988,684.330017,646.140015,662.090027,662.090027,0
2018-02-01,662.090027,664.349976,598.969971,612.489990,612.489990,0
2018-03-01,612.489990,637.150024,603.390015,631.200012,631.200012,0
2018-04-01,631.200012,638.030029,614.219971,633.239990,633.239990,0
2018-05-01,633.239990,658.429993,626.799988,652.570007,652.570007,0
2018-06-01,654.450012,680.909973,652.799988,677.570007,677.570007,0
